name,currency
Afghanistan,Afghanistan Afghani
Albania,Albanian Lek
Algeria,Algerian Dinar
American Samoa,US Dollar
Andorra,Euro
Angola,Angolan Kwanza
Anguilla,East Caribbean Dollar
Antarctica,East Caribbean Dollar
Antigua and Barbuda,East Caribbean Dollar
Argentina,Argentine Peso
Armenia,Armenian Dram
Aruba,Aruban Guilder
Australia,Australian Dollar
Austria,Euro
Azerbaijan,Azerbaijan New Manat
Bahamas,Bahamian Dollar
Bahrain,Bahraini Dinar
Bangladesh,Bangladeshi Taka
Barbados,Barbados Dollar
Belarus,Belarussian Ruble
Belgium,Euro
Belize,Belize Dollar
Benin,CFA Franc BCEAO
Bermuda,Bermudian Dollar
Bhutan,Bhutan Ngultrum
Bolivia,Boliviano
Bosnia and Herzegovina,Convertible Mark
Botswana,Botswana Pula
Bouvet Island,Norwegian Krone
Brazil,Brazilian Real
British Indian Ocean Territory,US Dollar
Brunei,Brunei Dollar
Bulgaria,Bulgarian Lev
Burkina Faso,CFA Franc BCEAO
Burundi,Burundi Franc
Cambodia,Kampuchean Riel
Cameroon,CFA Franc BEAC
Canada,Canadian Dollar
Cape Verde,Cape Verde Escudo
Cayman Islands,Cayman Islands Dollar
Central African Republic,CFA Franc BEAC
Chad,Central African
Chile,Chilean Peso
China,Yuan Renminbi
Christmas Island,Australian Dollar
Cocos (Keeling) Islands, Australian Dollar
Colombia,Colombian Peso
Comoros,Comoros Franc
Congo,CFA Franc BEAC
Cook Islands,New Zealand Dollar
Costa Rica,Costa Rican Colon
Croatia,Croatian Kuna
Cuba,Cuban Peso
Cyprus,Euro
Czech Republic,Czech Koruna
Denmark,Danish Krone
Djibouti,Djibouti Franc
Dominica,East Caribbean Dollar
Dominican Republic,Dominican Peso
East Timor,US Dollar
Ecuador,Ecuador Sucre
Egypt,Egyptian Pound
El Salvador,El Salvador Colon
England,Pound Sterlin
Equatorial Guinea,CFA Franc BEAC
Eritrea,Eritrean Nakfa
Estonia,Euro
Ethiopia,Ethiopian Birr
Falkland Islands,Falkland Islands Pound
Faroe Islands, Danish Krone
Fiji Islands,Fijian Dollar
Finland,Euro
France,Euro
French Guiana,Euro
French Polynesia,CFP Franc
French Southern territories,Euro
Gabon,CFA Franc BEAC
Gambia,Gambian Dalasi
Georgia,Georgian Lari
Germany,Euro
Ghana,Ghanaian Cedi
Gibraltar,Gibraltar Pound
Greece,Euro
Greenland,Danish Krone
Grenada,East Carribean Dollar
Guadeloupe,Euro
Guam,US Dollar
Guatemala,Guatemalan Quetzal
Guinea,Guinea Franc
Guinea-Bissau,West African CFA franc
Guyana,Guyana Dollar
Haiti,Haitian Gourde
Heard Island and McDonald Islands,Australian Dollar
Holy See (Vatican City State),Euro
Honduras,Honduran Lempira
Hong Kong,Hong Kong Dollar
Hungary,Hungarian Forint
Iceland,Iceland Krona
India,Indian Rupee
Indonesia,Indonesian Rupiah
Iran,Iranian Rial
Iraq,Iraqi Dinar
Ireland,Euro
Israel,Israeli New Shekel
Italy,Euro
Ivory Coast,CFA Franc BCEAO
Jamaica,Jamaican Dollar
Japan,Japanese Yen
Jordan,Jordanian Dinar
Kazakhstan,Tenge
Kenya,Kenyan Shilling
Kiribati,Australian Dollar
Kuwait,Kuwaiti Dinar
Kyrgyzstan,Som
Laos,Lao Kip
Latvia,Latvian Lats
Lebanon,Lebanese Pound
Lesotho,Lesotho Loti
Liberia,Liberian Dollar
Libyan Arab Jamahiriya,Libyan Dinar
Liechtenstein,Swiss Franc
Lithuania,Lithuanian Litas
